bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types
1100,59800,2024-04-03T08:10:44Z,2024-04-03T08:12:01Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T08:10:44Z,None
240,6430,2024-04-03T11:45:12Z,2024-04-03T11:45:35Z,142.104.1.1,CA,HTTPS,302,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T11:45:12Z,None
500,21500,2024-04-03T15:20:00Z,2024-04-03T15:20:45Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T15:20:00Z,None
680,29400,2024-04-03T18:55:10Z,2024-04-03T18:56:01Z,52.8.20.11,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T18:55:10Z,None
190,4800,2024-04-03T22:30:55Z,2024-04-03T22:31:10Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T22:30:55Z,None
820,38500,2024-04-04T02:15:20Z,2024-04-04T02:16:30Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T02:15:20Z,None
1350,71200,2024-04-04T05:50:45Z,2024-04-04T05:52:15Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T05:50:45Z,None
290,10500,2024-04-04T09:22:12Z,2024-04-04T09:22:40Z,198.51.100.42,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T09:22:12Z,None
440,19200,2024-04-04T13:05:30Z,2024-04-04T13:06:05Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T13:05:30Z,None
990,46500,2024-04-04T16:40:15Z,2024-04-04T16:41:35Z,3.5.140.2,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T16:40:15Z,None
160,5200,2024-04-04T20:12:55Z,2024-04-04T20:13:12Z,212.58.244.20,GB,HTTPS,404,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T20:12:55Z,None
750,34100,2024-04-04T23:50:45Z,2024-04-04T23:51:45Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-04T23:50:45Z,None
1200,64200,2024-04-05T03:22:12Z,2024-04-05T03:23:45Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T03:22:12Z,None
350,15200,2024-04-05T07:05:30Z,2024-04-05T07:06:05Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T07:05:30Z,None
520,24100,2024-04-05T10:40:15Z,2024-04-05T10:41:05Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T10:40:15Z,None
1650,78900,2024-04-05T14:12:55Z,2024-04-05T14:14:45Z,93.184.216.34,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T14:12:55Z,None
220,5900,2024-04-05T17:50:45Z,2024-04-05T17:51:10Z,62.252.0.1,GB,HTTPS,301,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T17:50:45Z,None
610,26500,2024-04-05T21:22:12Z,2024-04-05T21:23:02Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-05T21:22:12Z,None
1050,54200,2024-04-06T01:05:30Z,2024-04-06T01:06:55Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T01:05:30Z,None
310,12100,2024-04-06T04:40:15Z,2024-04-06T04:40:45Z,142.104.1.1,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T04:40:15Z,None
480,20100,2024-04-06T08:12:55Z,2024-04-06T08:13:40Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T08:12:55Z,None
1420,69400,2024-04-06T11:50:45Z,2024-04-06T11:52:20Z,104.244.42.1,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T11:50:45Z,None
270,8100,2024-04-06T15:22:12Z,2024-04-06T15:22:42Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T15:22:12Z,None
550,23400,2024-04-06T18:55:30Z,2024-04-06T18:56:15Z,193.99.144.80,DE,HTTPS,302,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T18:55:30Z,None
1150,61200,2024-04-06T22:30:15Z,2024-04-06T22:31:45Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-06T22:30:15Z,None
330,13500,2024-04-07T02:05:55Z,2024-04-07T02:06:30Z,198.51.100.42,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T02:05:55Z,None
510,22100,2024-04-07T05:40:22Z,2024-04-07T05:41:10Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T05:40:22Z,None
1550,74200,2024-04-07T09:15:05Z,2024-04-07T09:16:45Z,142.250.190.46,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T09:15:05Z,None
200,5400,2024-04-07T12:50:37Z,2024-04-07T12:50:55Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T12:50:37Z,None
640,27800,2024-04-07T16:25:42Z,2024-04-07T16:26:35Z,78.46.20.10,DE,HTTPS,404,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T16:25:42Z,None
1280,66300,2024-04-07T20:00:19Z,2024-04-07T20:01:55Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T20:00:19Z,None
300,11900,2024-04-07T23:35:01Z,2024-04-07T23:35:30Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-07T23:35:01Z,None
460,18300,2024-04-08T03:10:33Z,2024-04-08T03:11:15Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T03:10:33Z,None
1480,72100,2024-04-08T06:45:50Z,2024-04-08T06:47:35Z,64.233.160.0,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T06:45:50Z,None
230,6200,2024-04-08T10:22:15Z,2024-04-08T10:22:40Z,62.252.0.1,GB,HTTPS,301,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T10:22:15Z,None
720,32500,2024-04-08T13:55:45Z,2024-04-08T14:00:55Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T13:55:45Z,None
1310,68100,2024-04-08T17:30:12Z,2024-04-08T17:31:50Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T17:30:12Z,None
340,14200,2024-04-08T21:05:30Z,2024-04-08T21:06:05Z,142.104.1.1,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-08T21:05:30Z,None
530,24900,2024-04-09T00:40:15Z,2024-04-09T00:41:05Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T00:40:15Z,None
1600,79500,2024-04-09T04:12:55Z,2024-04-09T04:14:45Z,52.8.20.11,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T04:12:55Z,None
215,5600,2024-04-09T07:50:45Z,2024-04-09T07:51:10Z,151.101.128.81,GB,HTTPS,404,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T07:50:45Z,None
660,28100,2024-04-09T11:22:12Z,2024-04-09T11:23:02Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T11:22:12Z,None
1110,58200,2024-04-09T14:55:30Z,2024-04-09T14:56:55Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T14:55:30Z,None
280,10200,2024-04-09T18:30:15Z,2024-04-09T18:30:45Z,198.51.100.42,CA,HTTPS,302,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T18:30:15Z,None
450,18600,2024-04-09T22:05:55Z,2024-04-09T22:06:30Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-09T22:05:55Z,None
1380,68200,2024-04-10T01:40:22Z,2024-04-10T01:41:55Z,3.5.140.2,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T01:40:22Z,None
250,7100,2024-04-10T05:15:05Z,2024-04-10T05:15:30Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T05:15:05Z,None
590,25300,2024-04-10T08:50:37Z,2024-04-10T08:51:20Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T08:50:37Z,None
1220,62100,2024-04-10T12:25:42Z,2024-04-10T12:27:15Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T12:25:42Z,None
320,13100,2024-04-10T16:00:19Z,2024-04-10T16:00:50Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T16:00:19Z,None
490,21100,2024-04-10T19:35:01Z,2024-04-10T19:35:35Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T19:35:01Z,None
1510,73200,2024-04-10T23:10:33Z,2024-04-10T23:12:10Z,93.184.216.34,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-10T23:10:33Z,None
170,4200,2024-04-11T02:45:50Z,2024-04-11T02:46:05Z,62.252.0.1,GB,HTTPS,301,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T02:45:50Z,None
620,28500,2024-04-11T06:22:15Z,2024-04-11T06:23:02Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T06:22:15Z,None
1250,65400,2024-04-11T09:55:42Z,2024-04-11T09:57:15Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T09:55:42Z,None
210,5120,2024-04-11T13:30:30Z,2024-04-11T13:30:55Z,142.104.1.1,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T13:30:30Z,None
430,18900,2024-04-11T17:05:45Z,2024-04-11T17:06:20Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T17:05:45Z,None
1020,49800,2024-04-11T20:40:12Z,2024-04-11T20:41:35Z,142.250.190.46,US,HTTPS,404,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-11T20:40:12Z,None
310,11200,2024-04-12T00:15:30Z,2024-04-12T00:16:01Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T00:15:30Z,None
540,22300,2024-04-12T03:50:22Z,2024-04-12T03:51:10Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T03:50:22Z,None
1100,56400,2024-04-12T07:25:42Z,2024-04-12T07:27:01Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T07:25:42Z,None
260,7800,2024-04-12T11:00:15Z,2024-04-12T11:00:45Z,198.51.100.42,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T11:00:15Z,None
410,14300,2024-04-12T14:35:55Z,2024-04-12T14:36:30Z,194.170.1.2,AE,HTTPS,302,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T14:35:55Z,None
950,45300,2024-04-12T18:10:37Z,2024-04-12T18:11:50Z,64.233.160.0,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T18:10:37Z,None
180,4320,2024-04-12T21:45:12Z,2024-04-12T21:45:30Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-12T21:45:12Z,None
670,29500,2024-04-13T01:20:00Z,2024-04-13T01:20:45Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T01:20:00Z,None
1210,63400,2024-04-13T04:55:10Z,2024-04-13T04:56:45Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T04:55:10Z,None
300,11900,2024-04-13T08:30:19Z,2024-04-13T08:30:50Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T08:30:19Z,None
460,18300,2024-04-13T12:05:01Z,2024-04-13T12:05:35Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T12:05:01Z,None
1010,48500,2024-04-13T15:40:15Z,2024-04-13T15:41:40Z,52.8.20.11,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T15:40:15Z,None
150,3850,2024-04-13T19:15:33Z,2024-04-13T19:15:50Z,62.252.0.1,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T19:15:33Z,None
580,24300,2024-04-13T22:50:50Z,2024-04-13T22:51:35Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-13T22:50:50Z,None
1190,59400,2024-04-14T02:25:42Z,2024-04-14T02:27:15Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T02:25:42Z,None
280,9500,2024-04-14T06:00:19Z,2024-04-14T06:00:50Z,142.104.1.1,CA,HTTPS,301,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T06:00:19Z,None
440,17200,2024-04-14T09:35:05Z,2024-04-14T09:35:40Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T09:35:05Z,None
990,46100,2024-04-14T13:10:37Z,2024-04-14T13:11:55Z,104.244.42.1,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T13:10:37Z,None
160,4210,2024-04-14T16:45:20Z,2024-04-14T16:45:35Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T16:45:20Z,None
730,31200,2024-04-14T20:20:44Z,2024-04-14T20:21:35Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T20:20:44Z,None
1220,62300,2024-04-14T23:55:19Z,2024-04-15T03:57:01Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-14T23:55:19Z,None
310,12500,2024-04-15T03:30:15Z,2024-04-15T03:30:45Z,198.51.100.42,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T03:30:15Z,None
480,21200,2024-04-15T07:05:42Z,2024-04-15T07:06:25Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T07:05:42Z,None
1420,68900,2024-04-15T10:40:19Z,2024-04-15T10:42:04Z,3.5.140.2,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T10:40:19Z,None
270,8100,2024-04-15T14:15:01Z,2024-04-15T14:15:30Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T14:15:01Z,None
550,23400,2024-04-15T17:50:33Z,2024-04-15T17:51:15Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T17:50:33Z,None
1150,61200,2024-04-15T21:25:50Z,2024-04-15T21:27:15Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-15T21:25:50Z,None
330,13500,2024-04-16T01:00:15Z,2024-04-16T01:00:45Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T01:00:15Z,None
510,22100,2024-04-16T04:35:55Z,2024-04-16T04:36:30Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T04:35:55Z,None
1550,74200,2024-04-16T08:10:22Z,2024-04-16T08:12:05Z,142.250.190.46,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T08:10:22Z,None
200,5400,2024-04-16T11:45:19Z,2024-04-16T11:45:45Z,62.252.0.1,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T11:45:19Z,None
640,27800,2024-04-16T15:20:15Z,2024-04-16T15:21:05Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T15:20:15Z,None
1280,66300,2024-04-16T18:55:10Z,2024-04-16T18:56:55Z,122.160.1.10,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-16T18:55:10Z,None
300,11900,2024-04-17T02:30:15Z,2024-04-17T02:30:45Z,142.104.1.1,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T02:30:15Z,None
460,18300,2024-04-17T06:05:42Z,2024-04-17T06:06:30Z,87.200.1.20,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T06:05:42Z,None
1480,72100,2024-04-17T09:40:15Z,2024-04-17T09:42:04Z,93.184.216.34,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T09:40:15Z,None
230,6200,2024-04-17T13:15:19Z,2024-04-17T13:15:45Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T13:15:19Z,None
720,32500,2024-04-17T16:50:33Z,2024-04-17T16:52:10Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T16:50:33Z,None
1310,68100,2024-04-17T20:25:50Z,2024-04-17T20:27:15Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-17T20:25:50Z,None
340,14200,2024-04-18T00:00:15Z,2024-04-18T00:00:45Z,198.51.100.42,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T00:00:15Z,None
530,24900,2024-04-18T03:35:55Z,2024-04-18T03:36:30Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T03:35:55Z,None
1600,79500,2024-04-18T07:10:22Z,2024-04-18T07:12:05Z,104.244.42.1,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T07:10:22Z,None
215,5600,2024-04-18T10:45:19Z,2024-04-18T10:45:45Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T10:45:19Z,None
660,28100,2024-04-18T14:20:15Z,2024-04-18T14:21:05Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T14:20:15Z,None
1110,58200,2024-04-18T17:55:10Z,2024-04-18T17:56:55Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-18T17:55:10Z,None
280,10200,2024-04-19T01:30:15Z,2024-04-19T01:30:45Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T01:30:15Z,None
450,18600,2024-04-19T05:05:42Z,2024-04-19T05:06:30Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T05:05:42Z,None
1380,68200,2024-04-19T08:40:15Z,2024-04-19T08:42:04Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T08:40:15Z,None
250,7100,2024-04-19T12:15:19Z,2024-04-19T12:15:45Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T12:15:19Z,None
590,25300,2024-04-19T15:50:33Z,2024-04-19T15:52:10Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T15:50:33Z,None
1220,62100,2024-04-19T19:25:50Z,2024-04-19T19:27:15Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T19:25:50Z,None
320,13100,2024-04-19T23:00:15Z,2024-04-19T23:00:45Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-19T23:00:15Z,None
490,21100,2024-04-20T02:35:55Z,2024-04-20T02:36:30Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T02:35:55Z,None
1510,73200,2024-04-20T06:10:22Z,2024-04-20T06:12:05Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T06:10:22Z,None
170,4200,2024-04-20T09:45:19Z,2024-04-20T09:45:45Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T09:45:19Z,None
620,28500,2024-04-20T13:20:15Z,2024-04-20T13:21:05Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T13:20:15Z,None
1250,65400,2024-04-20T16:55:10Z,2024-04-20T16:56:55Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T16:55:10Z,None
210,5120,2024-04-20T20:30:15Z,2024-04-20T20:30:45Z,91.74.1.5,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-20T20:30:15Z,None
